"outcome.correct.ans.per.second","outcome.num.correct.ans","outcome.response.time","treatment","live.paycheck.by.paycheck","caloric.crunch","liquidity.constrained","financial.hardship","current.income","pay.day.amount.fraction.of.income","age","male","married","divorced","widowed","white","black","hispanic","working","unemployed","disabled","retired","household.size","household.head","children.in.household","metropolitan.area","household.income","education"
0.379362666715095,47,123.892001305699,0,1,1,0,0,1500,1,68,0,1,0,0,1,0,0,0,0,0,1,2,1,0,1,35000,4
0.51296850242675,48,93.5729967296662,0,0,0,0,0,3804,0.67,68,0,1,0,0,1,0,0,0,0,0,1,2,1,0,1,40000,3
0.291480472658778,42,144.091985363175,0,1,1,1,1,1400,1,73,1,0,0,1,1,0,0,0,0,0,1,1,1,0,1,15000,1
0.706360203109609,48,67.953998241534,1,1,1,1,1,2300,0.7,28,0,1,0,0,1,0,0,1,0,0,0,2,0,0,0,25000,3
0.719501556608503,47,65.3229997465783,1,0,0,0,0,550,1,66,0,1,0,0,0,0,0,0,0,0,1,2,1,0,1,30000,3
0.426408936349482,48,112.567997310121,1,1,1,1,1,2037,0.3,69,0,0,1,0,1,0,0,0,0,0,1,4,1,1,1,35000,2
0.45773574232969,48,104.863998069496,1,0,0,0,0,1000,1,52,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,25000,4
0.447605290753612,45,100.53500467842,1,0,0,0,0,465,1,50,0,1,0,0,1,0,0,0,0,1,0,2,1,0,0,20000,2
0.391089806171561,47,120.177000930017,1,0,0,0,0,993,1,65,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,15000,1
0.430725069432035,45,104.47499621821,1,1,0,0,0,2555,0.92,73,1,1,0,0,1,0,0,0,0,0,1,2,1,0,1,40000,3
0.532789202319367,47,88.2150009711103,1,1,1,1,1,8000,1,23,0,1,0,0,1,0,0,0,1,0,0,2,1,0,1,35000,4
0.645666443132086,47,72.7930040347243,0,1,1,1,1,3300,0.5,59,0,0,1,0,1,0,0,1,0,0,0,3,1,0,1,35000,3
0.504265255692954,48,95.187997701803,1,0,0,0,0,1691,0.11,63,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,20000,4
0.423716301336228,43,101.482996675831,0,1,1,1,0,1501,1,76,0,0,1,0,1,0,0,0,0,0,0,3,1,0,1,40000,2
